GEOGRAPHY_CODE,YEAR,HOUSEHOLDS,CUM_HOUSEHOLDS,D_JOBS,CUM_D_JOBS
E07000156,2029,-61.6912573050901,-649.979640969646,-6.33671161757795,-66.763650508087
E07000177,2029,-93.3549709543543,-1015.94270329766,-9.58909827497226,-104.354104811683
E07000178,2029,-47.5303248744266,-235.984188338062,4418.72537837098,44211.8358061329
E07000179,2029,-86.3914293950653,-955.033097008081,-8.87382747930649,-98.0976816707418
E07000180,2029,-105.333740467352,-1211.0216082114,-10.8195158617287,-124.391932165369
E07000181,2029,-52.3160962655602,-598.902816859576,-5.37372764754705,-61.5172165907714
E07000242,2029,-163.038448394845,-1733.27688927714,-16.7467429776351,-178.036180174522
E07000243,2029,-74.6545195020739,-727.484538108756,-7.66825287242864,-74.7246842683773
E07000004,2029,8478.79825861542,84898.0754185193,2640.35571067543,26414.8654600013
E06000056,2029,4472.78297143481,44837.9225467133,1344.15023275982,13452.8106808452
E07000012,2029,4472.78297143481,44837.9225467133,1344.15023275982,13452.8106808452
E07000011,2029,4472.78297143481,44837.9225467133,1344.15023275982,13452.8106808452
E06000030,2030,-167.827837344394,-1881.80091810439,-17.2386923708468,-193.292052401355
E06000032,2030,-171.728598908059,-1873.71489984713,-17.6393650463224,-192.461484699074
E06000042,2030,-293.530498886217,-3498.437388076,4393.45709517037,48300.3354763454
E06000055,2030,-215.803380301375,-2493.81996820266,-22.1665734628412,-256.156522900917
E07000008,2030,-42.9194882725491,-129.99334422363,4419.19898748738,48646.3303456067
E07000009,2030,-70.9826977069224,-874.889707796462,-7.29109609457363,-89.8656311716279
E07000099,2030,-127.668804542477,-1458.82332631579,-13.1136960452232,-149.8452637161
E07000151,2030,-65.8305193273639,-844.354930770911,-6.76188223154398,-86.7292049619776
E07000154,2030,-210.409600698843,-2436.5266283468,-21.6125431615783,-250.27155008412
E07000155,2030,-83.9759339593811,-1042.53382485259,-8.62571618026438,-107.08545243276
E07000156,2030,-58.9411377156591,-708.920778685305,-6.05422888804153,-72.8178793961285
E07000177,2030,-94.9629756715483,-1110.90567896921,-9.75426693286121,-114.108371744543
E07000178,2030,-50.2757933173199,-286.259981655382,4418.44337339106,48630.279179524
E07000179,2030,-81.7209030792746,-1036.75400008736,-8.39408724287217,-106.491768913614
E07000180,2030,-99.3541747979891,-1310.37578300939,-10.2053156508668,-134.597247816236
E07000181,2030,-53.4693222100904,-652.372139069666,-5.4921830099375,-67.0093996007089
E07000242,2030,-158.718566848658,-1891.99545612579,-16.3030197536958,-194.339199928217
E07000243,2030,-76.3149788163346,-803.79951692509,-7.83880948428624,-82.5634937526636
E07000004,2030,8465.62026848657,93363.6956870059,2639.00211331344,29053.8675733148
E06000056,2030,4459.60498130596,49297.5275280192,1342.79663539783,14795.6073162431
E07000012,2030,4459.60498130596,49297.5275280192,1342.79663539783,14795.6073162431
E07000011,2030,4459.60498130596,49297.5275280192,1342.79663539783,14795.6073162431
E06000030,2031,-171.080539157026,-2052.88145726141,-17.5727986002382,-210.864851001593
E06000032,2031,-172.375625070974,-2046.0905249181,-17.7058253258258,-210.167310024899
E06000042,2031,-287.157911334351,-3785.59529941035,4394.11166522354,52694.4471415689
